"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x55594930","x1399343653827534852",2021-05-31 12:35:00,"MapleLeafs","Winner moves on.

<U+0001F3D2> @scotiahockey Game Day
<U+23F0> 7:00 PM
<U+0001F4FA> @Sportsnet, @hockeynight
<U+0001F4FB> @FAN590
<U+0001F4CD> @ScotiabankArena
#<U+FE0F><U+20E3> #LeafsForever https://t.co/LiT6r9NYmI","Twitter Media Studio",126,,,,FALSE,FALSE,1693,269,"LeafsForever",,,,,"http://pbs.twimg.com/tweet_video_thumb/E2qoOhUWYAAhVKC.jpg","https://t.co/LiT6r9NYmI","https://twitter.com/MapleLeafs/status/1399343653827534852/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/E2qoOhUWYAAhVKC.jpg","https://t.co/LiT6r9NYmI","https://twitter.com/MapleLeafs/status/1399343653827534852/photo/1",,"x36065128 x21660529 x27947088 x16407418 x83901762","scotiahockey Sportsnet hockeynight FAN590 ScotiabankArena","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1399343653827534852","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1399093257192165379",2021-05-30 20:00:01,"MapleLeafs","“Representation for me symbolizes hope”

Open Ice with Leafs Video &amp; Coaching Coordinator Sam Kim

#AsianHeritageMonth | #LeafsForever https://t.co/3Xkd1rDRk9","Twitter Media Studio",138,,,,FALSE,FALSE,304,38,"AsianHeritageMonth LeafsForever",,,,,"http://pbs.twimg.com/media/E2fO74PWYAAfNsB.jpg","https://t.co/3Xkd1rDRk9","https://twitter.com/MapleLeafs/status/1399093257192165379/video/1","photo","http://pbs.twimg.com/media/E2fO74PWYAAfNsB.jpg","https://t.co/3Xkd1rDRk9","https://twitter.com/MapleLeafs/status/1399093257192165379/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1399093257192165379","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1399078154455629826",2021-05-30 19:00:00,"MapleLeafs","Here's your chance to bring the @Molson_Canadian  House experience home!

Open the TML app to learn more » https://t.co/izCSJbBukl https://t.co/GjHGLK1FVL","Twitter Media Studio",130,,,,FALSE,FALSE,155,15,,,"tml.app/Prt1omHbqgb","https://t.co/izCSJbBukl","https://tml.app/Prt1omHbqgb","http://pbs.twimg.com/media/E2msIjfWQAQSixq.jpg","https://t.co/GjHGLK1FVL","https://twitter.com/MapleLeafs/status/1399078154455629826/video/1","photo","http://pbs.twimg.com/media/E2msIjfWQAQSixq.jpg","https://t.co/GjHGLK1FVL","https://twitter.com/MapleLeafs/status/1399078154455629826/video/1",,"x1851566282","Molson_Canadian","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1399078154455629826","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1398861181935357953",2021-05-30 04:37:50,"MapleLeafs","“We’ve got to refocus here and we’ll be ready to go for Game 7.”

<U+0001F3A5> Post-Game Media Mashup | #LeafsForever https://t.co/aTh5lyitVx","Twitter Media Studio",106,,,,FALSE,FALSE,755,80,"LeafsForever",,,,,"http://pbs.twimg.com/media/E2nAqyZWUAID6XQ.jpg","https://t.co/aTh5lyitVx","https://twitter.com/MapleLeafs/status/1398861181935357953/video/1","photo","http://pbs.twimg.com/media/E2nAqyZWUAID6XQ.jpg","https://t.co/aTh5lyitVx","https://twitter.com/MapleLeafs/status/1398861181935357953/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1398861181935357953","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1398835793205116928",2021-05-30 02:56:56,"MapleLeafs","Comes down to Monday. https://t.co/tjvKxjXkUK","Twitter Web App",21,,,,FALSE,FALSE,1595,184,,,,,,"http://pbs.twimg.com/media/E2mpng5X0AMY_YD.jpg","https://t.co/tjvKxjXkUK","https://twitter.com/MapleLeafs/status/1398835793205116928/photo/1","photo","http://pbs.twimg.com/media/E2mpng5X0AMY_YD.jpg","https://t.co/tjvKxjXkUK","https://twitter.com/MapleLeafs/status/1398835793205116928/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1398835793205116928","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1398828890005643264",2021-05-30 02:29:31,"MapleLeafs","HERE WE GO! 

OT is underway on @Sportsnet, @hockeynight &amp; @680NEWS #LeafsForever https://t.co/vgL8ppVi3S","Twitter Web App",85,,,,FALSE,FALSE,518,64,"LeafsForever",,,,,"http://pbs.twimg.com/media/E2mgxRcWQAAwBkd.jpg","https://t.co/vgL8ppVi3S","https://twitter.com/MapleLeafs/status/1398828890005643264/photo/1","photo","http://pbs.twimg.com/media/E2mgxRcWQAAwBkd.jpg","https://t.co/vgL8ppVi3S","https://twitter.com/MapleLeafs/status/1398828890005643264/photo/1",,"x21660529 x27947088 x14705603","Sportsnet hockeynight 680NEWS","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1398828890005643264","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1398825123176660994",2021-05-30 02:14:32,"MapleLeafs","Overtime up next! 

#LeafsForever https://t.co/Kwwgc0KxY8","Twitter Web App",33,,,,FALSE,FALSE,1154,149,"LeafsForever",,,,,"http://pbs.twimg.com/media/E2mf_AuXoAERzs_.jpg","https://t.co/Kwwgc0KxY8","https://twitter.com/MapleLeafs/status/1398825123176660994/photo/1","photo","http://pbs.twimg.com/media/E2mf_AuXoAERzs_.jpg","https://t.co/Kwwgc0KxY8","https://twitter.com/MapleLeafs/status/1398825123176660994/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1398825123176660994","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1398824766233100290",2021-05-30 02:13:07,"MapleLeafs","Pucks on net, right? <U+0001F937>

#LeafsForever https://t.co/ex6Je3SaIf","Twitter Media Studio",37,,,,FALSE,FALSE,1258,126,"LeafsForever",,,,,"http://pbs.twimg.com/tweet_video_thumb/E2mfMWOWQAQ1c0n.jpg","https://t.co/ex6Je3SaIf","https://twitter.com/MapleLeafs/status/1398824766233100290/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/E2mfMWOWQAQ1c0n.jpg","https://t.co/ex6Je3SaIf","https://twitter.com/MapleLeafs/status/1398824766233100290/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1398824766233100290","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1398824324019142658",2021-05-30 02:11:22,"MapleLeafs","T. J. BRODIE!!! <U+0001F6A8>

#LeafsForever https://t.co/VIoMLVcLX9","Twitter Media Studio - LiveCut",32,,,,FALSE,FALSE,1585,223,"LeafsForever",,,,,"http://pbs.twimg.com/amplify_video_thumb/1398823935693660165/img/0PeXmRUf3CEzHv8z.jpg","https://t.co/VIoMLVcLX9","https://twitter.com/MapleLeafs/status/1398824324019142658/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/1398823935693660165/img/0PeXmRUf3CEzHv8z.jpg","https://t.co/VIoMLVcLX9","https://twitter.com/MapleLeafs/status/1398824324019142658/video/1",,,,"nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1398824324019142658","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
"x55594930","x1398823742302830595",2021-05-30 02:09:03,"MapleLeafs","BRODIE!!!!!!!! 2-2!!

#LeafsForever https://t.co/NbwOPQTzme","Twitter Media Studio",35,,,,FALSE,FALSE,2644,345,"LeafsForever",,,,,"http://pbs.twimg.com/tweet_video_thumb/E1yUb6iWYAMec50.jpg","https://t.co/NbwOPQTzme","https://twitter.com/MapleLeafs/status/1398823742302830595/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/E1yUb6iWYAMec50.jpg","https://t.co/NbwOPQTzme","https://twitter.com/MapleLeafs/status/1398823742302830595/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MapleLeafs/status/1398823742302830595","Toronto Maple Leafs","Toronto","#LeafsForever","https://t.co/7lPgciRba2",FALSE,1950754,182,7135,106750,5460,2009-07-10 15:51:04,TRUE,"https://t.co/7lPgciRba2","http://mapleleafs.com",,"https://pbs.twimg.com/profile_banners/55594930/1622554156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1411395992176504834/Ut2xTVb2_normal.png"
